datetime,open,high,low,close,volume
2025-01-31 01:00:00,1.03856,1.0393,1.03765,1.0388,3491
2025-01-31 02:00:00,1.03884,1.0395,1.0386,1.03893,5466
2025-01-31 03:00:00,1.03896,1.0392,1.0382,1.03847,4727
2025-01-31 04:00:00,1.03845,1.039,1.0382,1.03874,4085
2025-01-31 05:00:00,1.03872,1.0392,1.0384,1.03886,4521
2025-01-31 06:00:00,1.03887,1.0396,1.0386,1.0394,4771
2025-01-31 07:00:00,1.03942,1.04128,1.03909,1.04037,8428
2025-01-31 08:00:00,1.04028,1.04067,1.038,1.03832,9241
2025-01-31 09:00:00,1.03815,1.03851,1.03641,1.03835,11075
2025-01-31 10:00:00,1.03834,1.0384,1.0372,1.03764,8865
2025-01-31 11:00:00,1.03764,1.0381,1.0371,1.03749,7616
2025-01-31 12:00:00,1.03759,1.03857,1.0374,1.03828,7554
2025-01-31 13:00:00,1.03826,1.03953,1.03764,1.03825,12102
2025-01-31 14:00:00,1.03821,1.03826,1.0366,1.03684,12398
2025-01-31 15:00:00,1.03687,1.04006,1.0359,1.03964,13449
2025-01-31 16:00:00,1.03964,1.04076,1.03857,1.03997,11376
2025-01-31 17:00:00,1.03992,1.04338,1.03883,1.04196,14296
2025-01-31 18:00:00,1.04198,1.04217,1.03617,1.037,14651
2025-01-31 19:00:00,1.03697,1.03791,1.0363,1.03764,11387
2025-01-31 20:00:00,1.03755,1.0383,1.0362,1.03735,10466
2025-01-31 21:00:00,1.03731,1.0387,1.03495,1.0356,8414
2025-02-02 22:00:00,1.02318,1.0255,1.02318,1.02492,638
2025-02-02 23:00:00,1.02504,1.02693,1.02341,1.02466,4521
2025-02-03 00:00:00,1.02464,1.02668,1.02097,1.02313,6189
2025-02-03 01:00:00,1.02302,1.0252,1.0221,1.02374,4995
2025-02-03 02:00:00,1.02375,1.02379,1.022,1.02235,9961
2025-02-03 03:00:00,1.02237,1.0225,1.0211,1.022,7661
2025-02-03 04:00:00,1.02212,1.02395,1.022,1.02267,8975
2025-02-03 05:00:00,1.02268,1.02433,1.02252,1.02404,7481
2025-02-03 06:00:00,1.02403,1.02516,1.0239,1.02429,8613
2025-02-03 07:00:00,1.02428,1.02492,1.0221,1.02243,11438
2025-02-03 08:00:00,1.02247,1.02512,1.02127,1.02434,12753
2025-02-03 09:00:00,1.02432,1.02544,1.0225,1.02311,10390
2025-02-03 10:00:00,1.02278,1.02445,1.02278,1.02438,9385
